,SAC
653,-20
654,-20
655,-20
656,-20
657,-20
658,0
659,-20
660,-20
661,-1
662,-20
663,1
664,-16
665,-20
666,-20
667,-20
668,-20
669,-20
670,-20
671,-20
672,-20
673,-20
674,-20
675,-20
676,-20
677,-20
678,-20
679,-20
680,-20
681,-20
682,-20
683,0
684,-20
685,-14
686,-20
687,-20
688,-20
689,1
690,-20
691,-20
692,-20
693,-20
694,-12
695,-20
696,1
697,-20
698,-20
699,1
700,-1
701,-20
702,-20
703,-20
704,-15
705,-20
706,-20
707,-20
708,-20
709,-20
710,-20
711,-20
712,-20
713,-20
714,-20
715,-20
716,-20
717,-20
718,0
719,-20
720,-20
721,-20
722,-20
723,-20
724,-11
725,-14
726,0
727,-20
728,-20
729,-20
730,-20
731,-20
732,-20
733,-20
734,-20
735,-20
736,-20
737,-20
738,-20
739,-20
740,-20
741,-20
742,-20
743,-20
744,-20
745,-20
746,-20
747,-20
748,-20
749,-20
