,DQN
664,1
665,-5
666,-9
667,-20
668,0
669,0
670,-8
671,0
672,0
673,-20
674,-20
675,-1
676,-1
677,0
678,-4
679,1
680,1
681,-6
682,-1
683,0
684,0
685,-1
686,-16
687,-14
688,0
689,-20
690,-9
691,0
692,-4
693,-20
694,-20
695,-20
696,0
697,-20
698,0
699,-20
700,-7
701,-20
702,-20
703,0
704,-6
705,1
706,-20
707,-2
708,-7
709,-9
710,-11
711,-2
712,-15
713,0
714,-1
715,-6
716,-8
717,-2
718,0
719,-20
720,-1
721,0
722,-7
723,-9
724,-20
725,-20
726,1
727,1
728,-13
729,1
730,0
731,-1
732,-1
733,-10
734,-7
735,-20
736,-6
737,-20
738,-3
739,-20
740,-7
741,-11
742,-20
743,-9
744,-9
745,-1
746,0
747,-2
748,-20
749,-20
750,-1
751,-4
752,-4
753,-8
754,-20
755,-2
756,-20
757,-9
758,-1
759,-6
760,-13
761,1
762,0
763,0
764,-20
765,-1
766,-1
767,-1
768,-20
769,-11
770,-5
771,-7
772,0
773,-12
774,-11
775,-18
776,-20
777,-10
778,-20
779,-11
780,0
781,-20
782,-3
783,-3
784,0
785,0
786,-20
787,-1
788,-20
789,-20
790,-20
791,0
792,0
793,-1
794,-20
795,-20
796,-4
797,1
798,-3
799,0
800,1
801,-5
802,0
803,1
804,0
805,-20
806,-1
807,-18
808,1
809,-4
810,-3
811,-20
812,0
813,-9
814,-20
815,-7
816,-1
817,-10
818,1
819,-10
820,-9
821,-7
822,-20
823,-1
824,-2
825,1
826,-1
827,-1
828,-20
829,-10
830,1
831,0
832,-1
833,-1
834,-1
835,0
836,0
837,1
838,-11
839,-20
840,1
841,0
842,-11
843,1
844,-20
845,-20
846,0
847,-20
848,-5
849,-8
850,-20
851,0
852,0
853,1
854,-2
855,-20
856,0
857,0
858,-5
859,-3
860,-5
861,0
862,0
863,1
864,-1
865,-2
866,-6
867,-1
868,-14
869,-4
870,0
871,-20
872,-5
873,-20
874,0
875,-1
876,0
877,-7
878,0
879,-7
880,-5
881,-20
882,-9
883,0
884,0
885,-4
886,-6
887,-5
888,-13
889,0
890,-1
891,-1
892,0
893,-1
894,-1
895,-20
896,-20
897,-2
898,0
899,-10
900,-2
901,-1
902,0
903,-4
904,-1
905,-7
906,-9
907,0
908,0
909,-1
910,0
911,-20
912,-20
913,0
914,-20
915,-4
916,-1
917,-20
918,-11
919,1
920,0
921,-20
922,-2
923,-12
924,-17
925,-2
926,-2
927,-20
928,-15
929,0
930,1
931,0
932,-20
933,-1
934,0
935,-8
936,0
937,0
938,-1
939,-11
940,-20
941,-1
942,-8
943,-20
944,1
945,-20
946,-1
947,-3
948,-20
949,-20
950,-20
951,1
952,0
953,-1
954,0
955,0
956,-20
957,-4
958,-5
959,-7
960,0
961,0
962,-5
963,-20
964,0
965,-1
966,-20
967,-1
968,0
969,1
970,-2
971,-2
972,-6
973,1
974,-4
975,-4
976,-2
977,0
978,-20
979,0
980,0
981,0
982,-1
983,-20
984,-9
985,-20
986,0
987,-20
988,-1
989,-10
990,-1
991,-1
992,-11
993,-5
994,-1
995,1
996,-1
997,0
998,0
999,-1
1000,0
1001,-8
1002,-20
1003,1
1004,-20
1005,-2
1006,1
1007,-20
1008,-7
1009,-6
1010,-2
1011,-2
1012,0
1013,-20
1014,-2
1015,-9
1016,0
1017,-6
1018,-1
1019,-2
1020,-2
1021,0
1022,-20
1023,-6
1024,1
1025,-12
1026,-5
1027,-1
1028,-20
1029,-3
1030,0
1031,-1
1032,0
1033,-15
1034,1
1035,0
1036,0
1037,-1
1038,1
1039,-2
1040,0
1041,-1
1042,-3
1043,0
1044,1
1045,-20
1046,-1
1047,-20
1048,-20
1049,-2
1050,1
1051,-20
1052,1
1053,0
1054,1
1055,-8
1056,-1
1057,-20
1058,0
1059,-9
1060,1
1061,-1
1062,0
1063,-7
1064,0
1065,1
1066,-2
1067,-1
1068,-13
1069,0
1070,-2
1071,0
1072,-1
1073,1
1074,-11
1075,-2
1076,-2
1077,0
1078,-1
1079,-1
1080,-2
1081,0
1082,-20
1083,0
1084,-9
1085,0
1086,0
1087,1
1088,0
1089,1
1090,-3
1091,-7
1092,-1
1093,-8
1094,-11
1095,-6
1096,-1
1097,-2
1098,-7
1099,-2
1100,-1
1101,-1
1102,-6
1103,0
1104,-7
1105,-3
1106,-13
1107,-2
1108,-20
1109,-4
1110,0
1111,-4
1112,1
1113,-12
1114,0
1115,-4
1116,-1
1117,-4
1118,-1
1119,0
1120,-4
1121,-1
1122,-1
1123,-3
1124,-5
1125,-5
1126,-20
1127,1
1128,-1
1129,0
1130,-2
1131,-7
1132,-4
1133,-1
1134,1
1135,0
1136,0
1137,0
1138,1
1139,1
1140,-15
1141,-5
1142,-3
1143,-2
1144,-7
1145,1
1146,-1
1147,-7
1148,1
1149,-20
1150,0
1151,1
1152,1
1153,-1
1154,-8
1155,-3
1156,-20
1157,-1
1158,-10
1159,-10
1160,-2
1161,0
1162,0
1163,-2
1164,1
1165,-1
1166,-20
1167,-20
1168,-6
1169,-6
1170,-8
1171,-1
1172,-1
1173,-1
1174,-1
1175,-4
1176,-20
1177,-5
1178,-2
1179,0
1180,-1
1181,0
1182,-1
1183,-11
1184,0
1185,-2
1186,-1
1187,0
