,SAC
0,-20
1,-2
2,-20
3,-1
4,-20
5,-20
6,-16
7,-20
8,0
9,-9
10,0
11,-8
12,-15
13,-6
14,-3
15,-2
16,-9
17,1
18,-20
19,-20
20,-12
21,-20
22,-4
23,-20
24,-16
25,1
26,-20
27,-15
28,-20
29,-3
30,-9
31,0
32,-20
33,-4
34,-13
35,-20
36,-20
37,-6
38,-7
39,-14
40,-4
41,-20
42,-9
43,-20
44,-20
45,0
46,-20
47,1
48,-14
49,-15
50,-5
51,-2
52,-20
53,1
54,-6
55,0
56,0
57,1
58,-20
59,-1
60,-20
61,-3
62,-20
63,-20
64,-20
65,-20
66,-4
67,-1
68,-20
69,-16
70,-17
71,-20
72,-7
73,-7
74,-18
75,-7
76,-20
77,1
78,-5
79,-8
80,-1
81,-20
82,-9
83,-16
84,-1
85,-20
86,-20
87,-17
88,-20
89,1
90,-2
91,0
92,-7
93,-20
94,-13
95,-20
96,-4
97,-1
98,-20
99,-6
100,-7
101,-8
102,-20
103,-20
104,-1
105,-20
106,-14
107,1
108,-20
109,0
110,-16
111,-20
112,-1
113,1
114,-5
115,-7
116,1
117,-20
118,-20
119,-2
120,-5
121,-20
122,-20
123,-8
124,0
125,-17
126,-6
127,-1
128,-20
129,-20
130,-7
131,-12
132,-9
133,-20
134,-11
135,-20
136,-10
137,-16
138,-20
139,-20
140,-11
141,-20
142,-20
143,-20
144,0
145,-11
146,-14
147,0
148,-12
149,-2
150,0
151,-11
152,-6
153,1
154,-11
155,-16
156,-2
157,-8
158,-18
159,-16
160,-20
161,-1
162,-9
163,-6
164,0
165,-6
166,-20
167,-20
168,-20
169,-7
170,-5
171,-10
172,-10
173,-20
174,-20
175,-20
176,-9
177,0
178,-20
179,-2
180,-20
181,-20
182,-12
183,-20
184,-13
185,-9
186,-15
187,-4
188,-20
189,-16
190,-20
191,-14
192,-20
193,1
194,-20
195,-20
196,-11
197,-13
198,-5
199,0
200,-2
201,-20
202,-2
203,-20
204,-1
205,-2
206,0
207,-18
208,-2
209,-20
210,-9
211,-17
212,1
213,-20
214,-8
215,-20
216,-20
217,-20
218,-9
219,-20
220,-11
221,-7
222,-20
223,-18
224,-14
225,1
226,-16
227,-12
228,-1
229,-17
230,-16
231,-20
232,-2
233,1
234,-12
235,-2
236,-20
237,-20
238,-20
239,-15
240,-9
241,-20
242,-3
243,-15
244,-1
245,-20
246,-9
247,-20
248,-16
249,1
250,-5
251,1
252,-3
253,-11
254,-4
255,-1
256,-12
257,-14
258,-6
259,0
260,-10
261,-20
262,-18
263,-2
264,-20
265,0
266,-2
267,-20
268,-17
269,-20
270,-2
271,-6
272,0
273,-5
274,-20
275,-1
276,-14
277,1
278,1
279,-20
280,-5
281,1
282,-20
283,1
284,-5
285,1
286,-8
287,-1
288,-1
289,-20
290,-20
291,-7
292,-13
293,-20
294,-2
295,-8
296,-20
297,-20
298,-20
299,-20
300,-15
301,-2
302,1
303,-6
304,-20
305,-20
306,1
307,-5
308,-15
309,-20
310,1
311,-2
312,-3
313,0
314,-20
315,-20
316,-16
317,-3
318,1
319,-10
320,-20
321,-7
322,-20
323,1
324,-14
325,-18
326,-14
327,-9
328,-14
329,-3
330,-20
331,-1
332,-6
333,-20
334,-4
335,-13
336,-11
337,-20
338,-9
339,-4
340,-4
341,-10
342,-20
343,-9
344,-13
345,-20
346,-20
347,-12
348,0
349,-9
350,-11
351,-1
352,-1
353,-20
354,-2
355,-6
356,-3
357,-20
358,-9
359,1
360,-8
361,1
362,-13
363,-2
364,-2
365,-14
366,-20
367,1
368,-1
369,-16
370,-20
371,-11
372,1
373,-6
374,1
375,-9
376,0
377,-13
378,-20
379,-20
380,-5
381,-20
382,-20
383,-2
384,-4
385,-20
386,-4
387,-20
388,0
389,-18
390,-6
391,-20
392,-20
393,0
394,-1
395,-2
396,-20
397,-16
398,-9
399,-14
400,-20
401,-2
402,-1
403,-6
404,-20
405,-20
406,-1
407,-20
408,1
409,-20
410,0
411,-3
412,-11
413,-20
414,-3
415,1
416,-20
417,-1
418,-14
419,-11
420,-20
421,-20
422,-6
423,-20
424,-20
425,-8
426,-5
427,-12
428,0
429,-1
430,-20
431,-8
432,-20
433,-20
434,-20
435,-20
436,0
437,-1
438,0
439,0
440,-7
441,-20
442,1
443,-20
444,-20
445,-13
446,0
447,-20
448,-20
449,-20
450,-1
451,0
452,-20
453,1
454,-20
455,-20
456,-20
457,-3
458,-20
459,-20
460,-20
461,-20
462,-20
463,0
464,-20
465,-1
466,-20
467,-20
468,-20
469,-20
470,-20
471,0
472,-20
473,-20
474,-20
475,-20
476,-20
477,-20
478,-20
479,-20
480,-20
481,-20
482,-20
483,-20
484,-20
485,-20
486,-20
487,-20
488,-20
489,-20
490,-20
491,-20
492,-20
493,-20
494,1
495,1
496,-20
497,-20
498,-20
499,-20
500,-20
501,-20
502,-20
503,-20
504,-20
505,-20
506,-20
507,-20
508,-20
509,-20
510,-20
511,-20
512,-20
513,1
514,-20
515,1
516,-20
517,-20
518,-20
519,-20
520,1
521,-20
522,-20
523,1
524,-20
525,-20
526,-20
527,1
528,-20
529,-20
530,-20
531,-20
532,1
533,-20
534,-20
535,-20
536,-20
537,-20
538,-20
539,-20
540,1
541,-20
542,-20
543,-20
544,-11
545,-20
546,-16
547,-20
548,-3
549,-20
550,-10
551,-3
552,-13
553,-20
554,-20
555,-2
556,-3
557,-20
558,-20
559,-12
560,-20
561,0
562,-20
563,-20
564,-20
565,-20
566,-20
567,-20
568,-3
569,0
570,-8
571,-20
572,-14
573,-20
574,-20
575,-2
576,-20
577,-20
578,-20
579,-20
580,-20
581,-20
582,0
583,-20
584,-20
585,-10
586,-14
587,-20
588,-10
589,-20
590,-20
591,-2
592,-20
593,0
594,-6
595,-20
596,-6
597,-5
598,-20
599,-20
600,-2
601,-20
602,1
603,-8
604,-20
605,-20
606,-15
607,-20
608,1
609,-20
610,-13
611,0
612,-7
613,1
614,-20
615,-4
616,-20
617,-20
618,-8
619,-5
620,-8
621,-2
622,-20
623,-20
624,-20
625,-20
626,-20
627,1
628,-9
629,-20
630,-14
631,-20
632,-8
633,-3
634,-20
635,-20
636,1
637,-5
638,-2
639,-20
640,-1
641,-9
642,0
643,-20
644,-20
645,-6
646,-20
647,-20
648,-8
649,1
650,-20
651,-11
652,-5
653,-5
654,-20
655,0
656,-2
657,-20
658,-1
659,-14
660,-20
661,-20
662,-5
663,-7
664,-16
665,-20
666,-2
667,-1
668,0
669,-20
670,-5
671,-10
672,-20
673,-20
674,-20
675,-20
676,-20
677,-20
678,-20
679,-9
680,-20
681,-1
682,-1
683,-20
684,-20
685,-2
686,-20
687,-20
688,-20
689,-20
690,-3
691,1
692,-11
693,-1
694,-2
695,-20
696,-5
697,-2
698,0
699,-2
700,0
701,-3
702,-1
703,-20
704,-10
705,-20
706,-4
707,-20
708,-20
709,-20
710,0
711,-20
712,-2
713,-1
714,-3
715,1
716,-4
717,-20
718,1
719,1
720,-3
721,-5
722,-20
723,-1
724,-2
725,-5
726,-5
727,-1
728,-7
729,-9
730,-8
731,-2
732,-1
733,-20
734,-20
735,-2
736,-4
737,-20
738,-6
739,-1
740,-7
741,-4
742,1
743,-20
744,1
745,-5
746,-20
747,-1
748,-2
749,-20
