,SAC
652,1
653,1
654,-20
655,0
656,-20
657,-20
658,-20
659,-20
660,-20
661,-2
662,1
663,-1
664,-20
665,-20
666,-20
667,-3
668,-20
669,-20
670,-20
671,-20
672,-20
673,-20
674,-20
675,-20
676,-20
677,-2
678,-20
679,-20
680,-3
681,-20
682,-20
683,-20
684,-20
685,-20
686,1
687,-20
688,-20
689,-20
690,-20
691,-20
692,-20
693,-20
694,-4
695,-20
696,-20
697,-20
698,-20
699,1
700,-20
701,-20
702,-20
703,1
704,-20
705,-20
706,-20
707,-20
708,1
709,-20
710,-20
711,1
712,-20
713,-3
714,-1
715,-20
716,-20
717,1
718,-20
719,-20
720,-1
721,-20
722,-4
723,-5
724,-20
725,-20
726,-20
727,-20
728,0
729,-20
730,-20
731,-20
732,-20
733,-20
734,-20
735,-2
736,0
737,-1
738,-20
739,-20
740,-20
741,-20
742,-20
743,-20
744,-20
745,-20
746,-20
747,-20
748,-20
749,0
