,SAC
0,-4
1,-5
2,-20
3,-3
4,-11
5,-20
6,-20
7,-20
8,-20
9,-4
10,-14
11,-20
12,-20
13,-8
14,-20
15,-3
16,-18
17,-20
18,-1
19,1
20,-20
21,-20
22,0
23,-20
24,-13
25,-11
26,1
27,1
28,-8
29,-12
30,-20
31,-11
32,-6
33,-20
34,-20
35,-13
36,-18
37,-3
38,-20
39,-20
40,-7
41,-20
42,-14
43,-14
44,-2
45,-20
46,-20
47,-20
48,-5
49,-16
50,-2
51,-10
52,-20
53,-18
54,-20
55,-20
56,-20
57,-20
58,-3
59,-10
60,-12
61,-16
62,-15
63,-20
64,1
65,-20
66,-20
67,-2
68,-20
69,-20
70,-20
71,-2
72,-20
73,1
74,-11
75,-20
76,-8
77,-20
78,-5
79,-20
80,-7
81,-14
82,-1
83,-20
84,-17
85,-20
86,-5
87,-20
88,-20
89,-20
90,-20
91,-3
92,-6
93,-17
94,-20
95,-10
96,-20
97,-4
98,-3
99,-20
100,-20
101,-5
102,-18
103,1
104,-20
105,-20
106,-12
107,-20
108,-20
109,-20
110,1
111,-7
112,-16
113,-20
114,-20
115,-9
116,-20
117,-20
118,-17
119,-20
120,-3
121,-17
122,-20
123,-20
124,-5
125,-3
126,-3
127,-20
128,-6
129,-20
130,-20
131,-20
132,-3
133,-20
134,-6
135,-17
136,-20
137,-13
138,-20
139,-20
140,-20
141,-20
142,-20
143,-9
144,-20
145,-20
146,-2
147,-20
148,-8
149,-3
150,-8
151,-18
152,-20
153,-20
154,-6
155,-12
156,-9
157,-7
158,-20
159,-20
160,-12
161,-20
162,-20
163,-20
164,-20
165,0
166,-20
167,-20
168,-20
169,-20
170,-20
171,-11
172,-18
173,-11
174,-3
175,-20
176,-20
177,-2
178,-4
179,-9
180,-2
181,-20
182,-20
183,-20
184,-20
185,-20
186,-20
187,-12
188,-20
189,0
190,1
191,-20
192,-1
193,1
194,-20
195,-20
196,-20
197,-1
198,-20
199,-20
200,-11
201,-15
202,-20
203,-20
204,-12
205,-20
206,-2
207,-20
208,-20
209,-1
210,0
211,1
212,-20
213,-16
214,-3
215,-20
216,-16
217,-15
218,-16
219,-13
220,-20
221,-20
222,-20
223,-13
224,1
225,-20
226,-20
227,-15
228,-17
229,0
230,-20
231,-20
232,-20
233,-20
234,-20
235,-20
236,-20
237,-8
238,-18
239,-6
240,-3
241,-20
242,-20
243,-14
244,-20
245,-20
246,-5
247,-20
248,-20
249,-20
250,-14
251,-20
252,-9
253,-13
254,-20
255,-10
256,-14
257,-20
258,-12
259,-12
260,-20
261,-3
262,-20
263,-6
264,-14
265,-8
266,-20
267,-4
268,-20
269,-20
270,-20
271,-20
272,-4
273,-14
274,-20
275,-4
276,-20
277,-20
278,-20
279,1
280,-2
281,-3
282,-20
283,-20
284,-20
285,-3
286,-20
287,-3
288,-4
289,-20
290,-16
291,-20
292,-20
293,-1
294,-20
295,-20
296,-8
297,-1
298,-15
299,-20
300,-20
301,-13
302,-3
303,-20
304,0
305,-6
306,-14
307,-1
308,0
309,-20
310,0
311,-20
312,-20
313,-6
314,-20
315,-20
316,1
317,-9
318,-20
319,-20
320,-20
321,-14
322,-20
323,-20
324,-20
325,1
326,-20
327,-20
328,1
329,-20
330,-4
331,-12
332,-20
333,-20
334,-11
335,-10
336,-7
337,-2
338,1
339,-5
340,-11
341,-20
342,-8
343,-6
344,-5
345,0
346,-13
347,-12
348,-20
349,-20
350,-4
351,0
352,-20
353,-20
354,-20
355,-1
356,-20
357,-20
358,-20
359,-20
360,-16
361,-13
362,-20
363,-20
364,-20
365,-20
366,-20
367,-20
368,-20
369,-16
370,-20
371,0
372,-20
373,-20
374,-15
375,-20
376,-20
377,-17
378,-20
379,-16
380,-20
381,-20
382,-20
383,-14
384,-5
385,-20
386,-20
387,-2
388,-1
389,-1
390,-9
391,-15
392,-15
393,-15
394,-20
395,-20
396,1
397,0
398,-20
399,-20
400,-20
401,-20
402,-10
403,-20
404,-20
405,0
406,-13
407,-20
408,-5
409,-20
410,-9
411,-20
412,-4
413,-20
414,-2
415,-2
416,1
417,-20
418,-20
419,-20
420,-13
421,-13
422,-5
423,-20
424,-5
425,-20
426,-11
427,1
428,-20
429,-7
430,-20
431,-20
432,-20
433,-20
434,-18
435,-20
436,-20
437,-6
438,-6
439,-20
440,1
441,-2
442,-20
443,-20
444,-6
445,-20
446,-6
447,0
448,-11
449,-4
450,-20
451,-8
452,-8
453,-20
454,-2
455,-20
456,-12
457,-20
458,-20
459,-18
460,-3
461,-10
462,-15
463,-20
464,-20
465,-4
466,-5
467,-8
468,-8
469,-20
470,-13
471,-8
472,-5
473,0
474,-20
475,-20
476,-20
477,-8
478,-2
479,-20
480,-20
481,-1
482,-20
483,-20
484,-20
485,-20
486,0
487,-20
488,0
489,-8
490,-20
491,-1
492,-12
493,-2
494,-20
495,-20
496,-4
497,-20
498,-12
499,-20
500,-20
501,-20
502,-20
503,-20
504,-6
505,-20
506,-18
507,-20
508,-20
509,-8
510,-4
511,-20
512,-2
513,-20
514,-20
515,-17
516,-20
517,-20
518,-20
519,-20
520,-20
521,-1
522,-6
523,-4
524,-5
525,-20
526,-20
527,-20
528,-20
529,-20
530,-20
531,-1
532,-20
533,-4
534,-20
535,-20
536,-20
537,-20
538,-20
539,-11
540,-17
541,-20
542,-20
543,-9
544,-1
545,-20
546,-20
547,-20
548,-20
549,-20
550,-20
551,-20
552,-20
553,-2
554,-20
555,-5
556,-6
557,-1
558,-6
559,-1
560,-20
561,-20
562,-16
563,-8
564,-3
565,-6
566,-20
567,-13
568,-10
569,-20
570,-7
571,-20
572,-6
573,-20
574,-4
575,-4
576,-20
577,-20
578,-20
579,-15
580,-1
581,-20
582,-20
583,-14
584,-20
585,-20
586,-20
587,-20
588,-20
589,-2
590,-10
591,-20
592,-3
593,-20
594,-20
595,-20
596,-18
597,-16
598,-20
599,-20
600,-12
601,-20
602,-20
603,1
604,-3
605,-20
606,-1
607,-11
608,-20
609,-2
610,-20
611,-15
612,-20
613,-20
614,-20
615,-1
616,1
617,-20
618,-9
619,-20
620,-20
621,-2
622,-20
623,-20
624,-20
625,-2
626,-20
627,-20
628,-17
629,-5
630,-20
631,-20
632,-20
633,-20
634,1
635,-20
636,-20
637,-20
638,-20
639,-20
640,-20
641,-20
642,0
643,-17
644,-20
645,-20
646,-10
647,-13
648,-2
649,-20
650,-1
651,-20
652,-20
653,-20
654,-20
655,-20
656,-20
657,-3
658,-2
659,-20
660,-20
661,-9
662,-10
663,-20
664,-2
665,-20
666,-20
667,-20
668,-8
669,-2
670,-20
671,-20
672,-20
673,-20
674,-20
675,-20
676,-13
677,-2
678,-20
679,-20
680,-20
681,-5
682,-20
683,-20
684,-14
685,-13
686,-20
687,-14
688,-20
689,-20
690,-20
691,-20
692,-20
693,-20
694,-20
695,-1
696,-20
697,-4
698,0
699,-20
700,-20
701,-20
702,-8
703,-20
704,-20
705,0
706,-20
707,-20
708,-20
709,-20
710,-20
711,-20
712,-16
713,0
714,-20
715,-20
716,-20
717,-20
718,-20
719,-20
720,-20
721,-15
722,-20
723,-20
724,1
725,-20
726,-20
727,-20
728,-20
729,-20
730,-5
731,-20
732,-20
733,-20
734,-20
735,-20
736,-20
737,-11
738,-20
739,-15
740,-20
741,-20
742,-20
743,-20
744,-20
745,-18
746,-20
747,-20
748,-20
749,-20
