,DQN
532,17.0
533,32.0
534,16.0
535,37.0
536,12.0
537,17.0
538,13.0
539,14.0
540,32.0
541,14.0
542,23.0
543,25.0
544,39.0
545,16.0
546,31.0
547,14.0
548,21.0
549,18.0
550,67.0
551,16.0
552,24.0
553,18.0
554,15.0
555,14.0
556,20.0
557,11.0
558,14.0
559,27.0
560,38.0
561,19.0
562,52.0
563,12.0
564,34.0
565,10.0
566,14.0
567,41.0
568,10.0
569,31.0
570,12.0
571,10.0
572,27.0
573,30.0
574,13.0
575,9.0
576,13.0
577,13.0
578,9.0
579,30.0
580,13.0
581,29.0
582,21.0
583,16.0
584,10.0
585,10.0
586,12.0
587,13.0
588,17.0
589,13.0
590,12.0
591,22.0
592,56.0
593,73.0
594,14.0
595,49.0
596,35.0
597,54.0
598,54.0
599,15.0
600,20.0
601,24.0
602,13.0
603,26.0
604,15.0
605,12.0
606,9.0
607,38.0
608,11.0
609,10.0
610,14.0
611,23.0
612,15.0
613,11.0
614,16.0
615,12.0
616,10.0
617,13.0
618,18.0
619,13.0
620,11.0
621,12.0
622,16.0
623,9.0
624,26.0
625,17.0
626,12.0
627,45.0
628,23.0
629,16.0
630,12.0
631,17.0
632,12.0
633,20.0
634,24.0
635,12.0
636,22.0
637,14.0
638,9.0
639,14.0
640,55.0
641,14.0
642,12.0
643,13.0
644,16.0
645,21.0
646,62.0
647,11.0
648,13.0
649,22.0
650,21.0
651,11.0
652,21.0
653,11.0
654,42.0
655,9.0
656,17.0
657,15.0
658,12.0
659,15.0
660,14.0
661,11.0
662,10.0
663,11.0
664,10.0
665,12.0
666,12.0
667,13.0
668,11.0
669,13.0
670,12.0
671,11.0
672,9.0
673,11.0
674,13.0
675,18.0
676,30.0
677,13.0
678,12.0
679,10.0
680,17.0
681,14.0
682,11.0
683,12.0
684,13.0
685,10.0
686,22.0
687,56.0
688,8.0
689,29.0
690,12.0
691,12.0
692,39.0
693,9.0
694,9.0
695,14.0
696,13.0
697,11.0
698,10.0
699,11.0
700,14.0
701,11.0
702,14.0
703,9.0
704,11.0
705,15.0
706,59.0
707,25.0
708,20.0
709,11.0
710,16.0
711,14.0
712,12.0
713,30.0
714,11.0
715,11.0
716,15.0
717,13.0
718,11.0
719,27.0
720,11.0
721,11.0
722,12.0
723,11.0
724,18.0
725,16.0
726,16.0
727,16.0
728,11.0
729,20.0
730,16.0
731,15.0
732,47.0
733,12.0
734,16.0
735,11.0
736,11.0
737,15.0
738,13.0
739,61.0
740,14.0
741,53.0
742,13.0
743,12.0
744,9.0
745,14.0
746,51.0
747,9.0
748,44.0
749,10.0
750,69.0
751,12.0
752,18.0
753,11.0
754,13.0
755,13.0
756,11.0
757,14.0
758,11.0
759,62.0
760,51.0
761,20.0
762,30.0
763,55.0
764,11.0
765,20.0
766,43.0
767,13.0
768,10.0
769,23.0
770,76.0
771,26.0
772,11.0
773,28.0
774,62.0
775,96.0
776,29.0
777,11.0
778,72.0
779,30.0
780,97.0
781,12.0
782,12.0
783,12.0
784,10.0
785,28.0
786,15.0
787,10.0
788,34.0
789,108.0
790,14.0
791,63.0
792,11.0
793,13.0
794,61.0
795,15.0
796,19.0
797,17.0
798,11.0
799,72.0
800,11.0
801,14.0
802,19.0
803,11.0
804,13.0
805,47.0
806,16.0
807,11.0
808,11.0
809,28.0
810,16.0
811,52.0
812,69.0
813,11.0
814,17.0
815,19.0
816,13.0
817,11.0
818,37.0
819,17.0
820,61.0
821,12.0
822,75.0
823,72.0
824,11.0
825,26.0
826,12.0
827,70.0
828,23.0
829,51.0
830,73.0
831,13.0
832,90.0
833,17.0
834,61.0
835,87.0
836,74.0
837,13.0
838,46.0
839,11.0
840,67.0
841,14.0
842,95.0
843,12.0
844,49.0
845,14.0
846,17.0
847,86.0
848,14.0
849,19.0
850,59.0
851,13.0
852,53.0
853,95.0
854,12.0
855,10.0
856,12.0
857,12.0
858,21.0
859,12.0
860,68.0
861,68.0
862,52.0
863,11.0
864,12.0
865,72.0
866,63.0
867,68.0
868,49.0
869,16.0
870,11.0
871,13.0
872,80.0
873,105.0
874,15.0
875,10.0
876,10.0
877,11.0
878,37.0
879,70.0
880,40.0
881,12.0
882,10.0
883,81.0
884,11.0
885,12.0
886,64.0
887,62.0
888,13.0
889,69.0
890,63.0
891,77.0
892,73.0
893,12.0
894,11.0
895,11.0
896,77.0
897,11.0
898,83.0
899,122.0
900,12.0
901,11.0
902,114.0
903,12.0
904,31.0
905,16.0
906,53.0
907,77.0
908,30.0
909,92.0
910,29.0
911,49.0
912,67.0
913,12.0
914,102.0
915,108.0
916,86.0
917,74.0
918,83.0
919,73.0
920,54.0
921,76.0
922,81.0
923,113.0
924,84.0
925,88.0
926,69.0
927,74.0
928,67.0
929,111.0
930,125.0
931,61.0
932,77.0
933,14.0
934,106.0
935,12.0
936,110.0
937,73.0
938,79.0
939,79.0
940,72.0
941,58.0
942,96.0
