,SAC
734,500.0
735,500.0
736,500.0
737,500.0
738,499.0
739,494.0
740,444.0
741,484.0
742,435.0
743,312.0
744,414.0
745,381.0
746,500.0
747,488.0
748,439.0
749,500.0
